eprime,theta,xbj,q2,w,modelxsec,epsilon,delta
3.29601,16.75,0.215651,2.984744,3.425818,0.0844032,0.5454334135020037,-9.50
3.33243,16.75,0.219116,3.017725,3.410998,0.0835995,0.5503360339742291,-8.50
3.36885,16.75,0.222615,3.050706,3.396113,0.0827885,0.5552070839255254,-7.50
3.40527,16.75,0.22615,3.083686,3.381162,0.0819606,0.5600463769502467,-6.50
3.44169,16.75,0.22972,3.116667,3.366145,0.0811266,0.564853959064396,-5.50
3.47811,16.75,0.233326,3.149647,3.351061,0.0802869,0.5696295791384911,-4.50
3.51453,16.75,0.236969,3.182628,3.335908,0.0794673,0.5743732885846077,-3.50
3.55095,16.75,0.240649,3.215609,3.320686,0.078657,0.579084921387753,-2.50
3.58737,16.75,0.244367,3.248589,3.305395,0.0778391,0.5837643204650325,-1.50
3.62379,16.75,0.248124,3.28157,3.290032,0.0770413,0.5884115452254267,-0.50
3.66021,16.75,0.251919,3.314551,3.274597,0.0762424,0.5930264469654838,0.50
3.69663,16.75,0.255755,3.347531,3.259089,0.0754572,0.5976088857044056,1.50
3.73305,16.75,0.25963,3.380512,3.243507,0.0746827,0.602158928707123,2.50
3.76947,16.75,0.263546,3.413492,3.22785,0.0739081,0.6066763789571245,3.50
3.80589,16.75,0.267504,3.446473,3.212116,0.0731402,0.6111613088656872,4.50
3.84231,16.75,0.271504,3.479454,3.196305,0.0723769,0.6156135976942605,5.50
3.87873,16.75,0.275547,3.512434,3.180415,0.0716082,0.6200331330573984,6.50
3.91515,16.75,0.279634,3.545415,3.164446,0.0708758,0.6244199949318708,7.50
3.95157,16.75,0.283765,3.578395,3.148395,0.0700683,0.6287740183440739,8.50
3.98799,16.75,0.287941,3.611376,3.132262,0.0692963,0.6330952882022992,9.50
